chrom	start	end	gene	p
NC_037646.1	11464401	11464457	rna-XM_006567391.3	8.580e-05
NC_037644.1	2087720	2087898	rna-XM_006559811.3	8.716e-05
NC_037648.1	14435588	14435717	rna-XM_006566596.2	8.755e-05
NC_037648.1	16253339	16253466	rna-XM_016914705.2	8.873e-05
NC_037643.1	15398791	15398962	rna-XM_003251553.4	9.015e-05
NC_037644.1	9005956	9006176	rna-XM_026441833.1	9.038e-05
NC_037652.1	7448052	7448098	rna-XM_006563518.3	9.531e-05
NC_037640.1	6124437	6124579	rna-XM_026439873.1	9.580e-05
NC_037651.1	4622259	4622444	rna-XM_003249612.4	9.887e-05
NC_037652.1	5155024	5155159	rna-XM_026445542.1	1.005e-04
NC_037644.1	2644388	2645749	rna-XM_026441592.1	1.010e-04
NC_037639.1	15739551	15740138	rna-XM_026438857.1	1.011e-04
NC_037647.1	8087859	8088980	rna-XM_003250421.4	1.013e-04
NC_037645.1	9971293	9971455	rna-XM_006568066.3	1.024e-04
NC_037647.1	11507724	11507886	rna-NM_001098223.1	1.031e-04
NC_037640.1	400852	401021	rna-XM_026439687.1	1.039e-04
NC_037645.1	3894992	3895733	rna-XM_006559661.3	1.073e-04
NC_037638.1	26202886	26203098	rna-XM_026446186.1	1.078e-04
NC_037652.1	5930213	5930284	rna-XM_026445607.1	1.080e-04
NC_037645.1	9966587	9966765	rna-XM_006568066.3	1.081e-04
NC_037645.1	9966217	9966364	rna-XM_006568066.3	1.104e-04
NC_037640.1	11255	11487	rna-XR_003304298.1	1.108e-04
NC_037650.1	9515666	9515746	rna-XM_001120437.5	1.133e-04
NC_037642.1	9542934	9543065	rna-XM_006567854.3	1.184e-04
NC_037651.1	2308771	2308871	rna-XM_016916157.2	1.199e-04
NC_037638.1	6025286	6025622	rna-XM_395748.7	1.214e-04
NC_037639.1	4727965	4728009	rna-XM_026446369.1	1.239e-04
NC_037651.1	7275761	7275916	rna-XM_006562980.3	1.240e-04
NC_037640.1	25353	25585	rna-XM_026439554.1	1.299e-04
NC_037642.1	5412677	5412899	rna-XM_026440769.1	1.330e-04
NC_037653.1	1101506	1101803	rna-XM_006557704.3	1.365e-04
NC_037645.1	1299643	1299816	rna-XM_394713.7	1.376e-04
NC_037645.1	1299929	1300384	rna-XM_394713.7	1.430e-04
NC_037640.1	7764706	7764948	rna-XM_026439821.1	1.467e-04
NC_037638.1	15488035	15488216	rna-XM_001120268.5	1.470e-04
NC_037638.1	6025745	6025865	rna-XM_016912534.2	1.481e-04
NC_037645.1	7125253	7125512	rna-XR_003305208.1	1.505e-04
NC_037638.1	6025995	6026242	rna-XM_016912534.2	1.518e-04
NC_037638.1	15723011	15723328	rna-XM_397116.7	1.574e-04
NC_037649.1	8077125	8077247	rna-XM_006565205.3	1.581e-04
NW_020555822.1	13970	14636	rna-XR_003306382.1	1.593e-04
NC_037651.1	8713551	8713604	rna-XM_392018.7	1.637e-04
NC_037651.1	9471551	9471688	rna-XM_016916259.2	1.662e-04
NC_037651.1	9092343	9092464	rna-XM_026445013.1	1.668e-04
NC_037645.1	8786180	8786575	rna-XM_026442286.1	1.700e-04
NC_037641.1	12145125	12145175	rna-XM_625028.6	1.703e-04
NC_037645.1	7119170	7119245	rna-XR_003305206.1	1.756e-04
NC_037647.1	4900883	4901031	rna-XM_003250028.4	1.789e-04
NC_037640.1	7756408	7756478	rna-XR_003304429.1	1.817e-04
NC_037641.1	2049850	2050032	rna-XM_026440385.1	1.828e-04
NC_037653.1	1081244	1081306	rna-XM_393344.7	1.840e-04
NC_037638.1	2491684	2491924	rna-XM_006559863.3	1.842e-04
NC_037639.1	11835381	11835602	rna-XM_006568175.3	1.844e-04
NC_037640.1	6079898	6080008	rna-XM_016911461.2	1.867e-04
NC_037645.1	1298884	1299372	rna-XM_394713.7	1.889e-04
NC_037640.1	7764706	7765028	rna-XM_026439818.1	1.922e-04
NC_037640.1	25353	25675	rna-XM_026439576.1	1.927e-04
NC_037647.1	6971063	6971413	rna-XM_006562788.3	1.942e-04
NC_037638.1	26200227	26200327	rna-XM_026446186.1	1.962e-04
NC_037645.1	1297889	1298074	rna-XM_394713.7	1.964e-04
NC_037648.1	2416992	2417127	rna-XM_006558964.3	1.969e-04
NC_037647.1	7043548	7043661	rna-XM_016914372.2	1.997e-04
NC_037647.1	7043782	7044372	rna-XM_016914372.2	2.004e-04
NC_037644.1	9004824	9005283	rna-XM_026441833.1	2.046e-04
NC_037640.1	7798592	7798932	rna-XM_395373.6	2.049e-04
NC_037645.1	5894759	5894901	rna-XM_016913538.2	2.165e-04
NC_037643.1	14155961	14156202	rna-XM_006570500.3	2.169e-04
NC_037645.1	1299450	1299570	rna-XM_394713.7	2.183e-04
NC_037653.1	1634254	1634450	rna-XM_624704.6	2.193e-04
NC_037639.1	15721862	15721906	rna-XM_026438857.1	2.245e-04
NC_037650.1	5649545	5649751	rna-XM_393524.6	2.342e-04
NC_037641.1	12145254	12145348	rna-XM_625028.6	2.364e-04
NC_037641.1	12145254	12145336	rna-XM_006567149.3	2.405e-04
NC_037653.1	1636353	1636553	rna-XM_624704.6	2.426e-04
NC_037651.1	8211090	8211281	rna-XM_006564936.3	2.465e-04
NW_020555822.1	13970	15062	rna-XR_003306386.1	2.483e-04
NC_037639.1	653876	654459	rna-XM_006558101.3	2.516e-04
NC_037642.1	5412415	5412590	rna-XM_026440769.1	2.526e-04
NC_037638.1	2046237	2046807	rna-XR_001706446.2	2.527e-04
NC_037640.1	9353219	9353823	rna-XM_001121746.5	2.529e-04
NC_037639.1	655121	655215	rna-XM_006558101.3	2.538e-04
NC_037650.1	11160850	11161330	rna-XM_006568074.3	2.576e-04
NC_037642.1	5411270	5411498	rna-XM_026440769.1	2.579e-04
NC_037639.1	5944062	5944180	rna-XM_026439198.1	2.599e-04
NC_037640.1	7764706	7765079	rna-XM_026439819.1	2.612e-04
NC_037640.1	13497427	13497590	rna-XM_026439697.1	2.624e-04
NC_037638.1	11831170	11831352	rna-XM_006570006.3	2.658e-04
NC_037639.1	650739	650891	rna-XM_006558101.3	2.659e-04
NC_037638.1	2490754	2491195	rna-XM_006559863.3	2.691e-04
NC_037650.1	659183	659324	rna-XM_026444615.1	2.722e-04
NC_037642.1	12082907	12083022	rna-XM_624354.6	2.726e-04
NC_037638.1	2194345	2194751	rna-XM_026442197.1	2.760e-04
NC_037648.1	2416542	2416759	rna-XM_006558964.3	2.786e-04
NC_037638.1	15867465	15868112	rna-XM_026446212.1	2.854e-04
NC_037651.1	9471856	9471978	rna-XM_016916259.2	2.879e-04
NC_037638.1	18377977	18378111	rna-XM_026446138.1	2.892e-04
NC_037644.1	9005427	9005527	rna-XM_026441833.1	2.913e-04
NC_037644.1	9005603	9005697	rna-XM_026441833.1	2.939e-04
NC_037647.1	10957181	10957243	rna-XM_016914444.2	2.950e-04
NC_037638.1	17560853	17560970	rna-XM_026446336.1	2.953e-04
NC_037642.1	5412980	5413227	rna-XM_026440769.1	2.993e-04
NC_037640.1	25353	25681	rna-XM_026439575.1	3.004e-04
NC_037643.1	5239860	5239957	rna-XM_026441442.1	3.022e-04
NC_037646.1	11466005	11466100	rna-XM_006567391.3	3.028e-04
NC_037650.1	4883818	4883900	rna-XM_006560417.3	3.031e-04
NC_037653.1	1634534	1634726	rna-XM_624704.6	3.073e-04
NC_037645.1	2720448	2720507	rna-XM_016913372.2	3.103e-04
NC_037648.1	6612388	6612451	rna-XM_016917553.2	3.151e-04
NC_037653.1	1633458	1633615	rna-XM_624704.6	3.197e-04
NC_037638.1	2111105	2111234	rna-XM_016917864.2	3.302e-04
NC_037643.1	16447757	16447942	rna-XM_026441262.1	3.355e-04
NC_037648.1	16187071	16187181	rna-XM_006570274.3	3.369e-04
NC_037649.1	8023504	8024057	rna-XM_016915443.2	3.386e-04
NC_037648.1	594223	594409	rna-XM_006557464.2	3.387e-04
NC_037653.1	1101882	1102193	rna-XM_006557704.3	3.392e-04
NC_037639.1	2019676	2020733	rna-XR_003304123.1	3.414e-04
NC_037645.1	9973104	9973241	rna-XM_006568066.3	3.422e-04
NC_037639.1	9654365	9654560	rna-XM_624453.6	3.497e-04
NC_037639.1	15822009	15822113	rna-NM_001190421.1	3.549e-04
NC_037644.1	8919824	8920342	rna-XM_026441831.1	3.561e-04
NC_037652.1	1945036	1945127	rna-NM_001040227.1	3.570e-04
NC_037638.1	12354496	12354752	rna-XM_016913015.2	3.685e-04
NC_037638.1	2491318	2491515	rna-XM_006559863.3	3.703e-04
NC_037645.1	8772186	8772285	rna-XM_026442280.1	3.776e-04
NC_037639.1	2019676	2019889	rna-XR_003304135.1	3.828e-04
NC_037646.1	2878083	2878153	rna-XM_016914032.2	3.835e-04
NC_037643.1	14492442	14492517	rna-XR_411855.3	3.863e-04
NC_037638.1	2492153	2492408	rna-XM_006559863.3	3.870e-04
NC_037638.1	11321349	11321452	rna-XR_003305551.1	3.914e-04
NC_037650.1	8733180	8733250	rna-XM_026444671.1	3.929e-04
NC_037648.1	12963774	12964058	rna-XM_016914661.2	3.936e-04
NC_037647.1	7043161	7043481	rna-XM_016914372.2	3.966e-04
NC_037646.1	8497878	8498521	rna-XM_006561784.3	3.975e-04
NC_037644.1	9106198	9106293	rna-XM_006565075.3	4.014e-04
NC_037648.1	14435795	14435878	rna-XM_006566596.2	4.121e-04
NC_037640.1	13497427	13497798	rna-XM_026439693.1	4.158e-04
NC_037651.1	10599074	10599482	rna-XM_391988.7	4.186e-04
NC_037653.1	1635443	1635579	rna-XM_624704.6	4.212e-04
NC_037639.1	2019676	2020155	rna-XR_003304134.1	4.233e-04
NC_037638.1	12354142	12354399	rna-XM_016913015.2	4.240e-04
NC_037653.1	1633704	1633888	rna-XM_624704.6	4.293e-04
NC_037645.1	8397245	8397511	rna-XM_006564617.3	4.301e-04
NC_037652.1	7752740	7752780	rna-XM_624835.6	4.307e-04
NC_037647.1	6310027	6310195	rna-XM_026443424.1	4.328e-04
NC_037644.1	8919110	8919295	rna-XM_026441831.1	4.348e-04
NC_037638.1	14282873	14282971	rna-XM_026446108.1	4.361e-04
NC_037653.1	1095232	1095438	rna-XM_006557698.3	4.370e-04
NC_037640.1	8736630	8736685	rna-XM_016911501.2	4.414e-04
NC_037638.1	20436154	20436225	rna-XM_006571293.3	4.434e-04
NC_037653.1	1198422	1199015	rna-XM_026445861.1	4.450e-04
NC_037638.1	14284702	14284854	rna-XM_026446108.1	4.455e-04
NC_037653.1	1635153	1635363	rna-XM_624704.6	4.478e-04
NC_037653.1	1635648	1635780	rna-XM_624704.6	4.576e-04
NC_037646.1	8497389	8497650	rna-XM_006561784.3	4.667e-04
NC_037640.1	1055519	1055762	rna-XM_016917406.2	4.707e-04
NC_037652.1	2759445	2759624	rna-XM_624409.6	4.726e-04
NC_037640.1	5370238	5370409	rna-XM_006560951.3	4.746e-04
NC_037653.1	1635883	1636269	rna-XM_624704.6	4.754e-04
NC_037647.1	7053610	7053805	rna-XM_624229.6	4.818e-04
NC_037641.1	12144779	12145011	rna-XM_625028.6	4.840e-04
NC_037640.1	1054188	1054363	rna-XM_016917406.2	4.984e-04
NC_037638.1	15722681	15722935	rna-XM_397116.7	5.018e-04
NC_037640.1	6079901	6080008	rna-XM_016911460.2	5.025e-04
NC_037642.1	5412116	5412344	rna-XM_026440769.1	5.053e-04
NC_037653.1	1634816	1635078	rna-XM_624704.6	5.070e-04
NC_037638.1	6026322	6026828	rna-XM_016912534.2	5.075e-04
NC_037643.1	9018086	9018277	rna-XM_026441363.1	5.089e-04
NC_037642.1	5411585	5412033	rna-XM_026440769.1	5.092e-04
NC_037640.1	25353	25520	rna-XM_026439550.1	5.244e-04
NC_037641.1	4875039	4875071	rna-XM_026440050.1	5.367e-04
NC_037645.1	8785676	8786027	rna-XM_026442286.1	5.372e-04
NC_037639.1	14177378	14177483	rna-XM_016910900.2	5.383e-04
NC_037653.1	7179870	7180041	rna-XM_001121565.5	5.401e-04
NC_037642.1	12082219	12082786	rna-XM_624354.6	5.440e-04
NC_037642.1	3005274	3005366	rna-XM_026440688.1	5.513e-04
NC_037642.1	5410989	5411194	rna-XM_026440769.1	5.517e-04
NC_037639.1	2019676	2020760	rna-XR_003304126.1	5.567e-04
NC_037643.1	5255696	5255810	rna-XM_016912905.2	5.626e-04
NC_037639.1	2019676	2020303	rna-XR_003304128.1	5.667e-04
NC_037647.1	10245308	10245883	rna-XM_026443137.1	5.669e-04
NC_037638.1	15724638	15725134	rna-XM_397116.7	5.804e-04
NC_037639.1	2019676	2019801	rna-XR_003304140.1	5.851e-04
NC_037638.1	2488498	2488901	rna-XM_006559863.3	5.857e-04
NC_037647.1	11511244	11511554	rna-NM_001098223.1	5.885e-04
NC_037652.1	7411801	7412448	rna-XM_006563506.2	5.957e-04
NC_037645.1	1297436	1297525	rna-XM_394713.7	5.958e-04
NC_037641.1	8033404	8033722	rna-XM_016911914.2	6.008e-04
NC_037640.1	6885606	6885863	rna-XM_016911253.2	6.095e-04
NC_037638.1	2194823	2194921	rna-XM_026442197.1	6.130e-04
NC_037638.1	12353694	12354069	rna-XM_016913015.2	6.239e-04
NC_037644.1	2367824	2367969	rna-XM_394703.7	6.327e-04
NC_037643.1	9017756	9018019	rna-XM_026441363.1	6.399e-04
NC_037653.1	610537	612580	rna-XM_396192.7	6.411e-04
NC_037638.1	15869802	15870619	rna-XM_026446212.1	6.658e-04
NC_037646.1	6828357	6828528	rna-XR_001704282.2	6.776e-04
NC_037652.1	3809342	3809605	rna-XM_016916654.2	6.833e-04
NC_037643.1	6635202	6635301	rna-XM_026441540.1	6.911e-04
NC_037640.1	13504705	13504833	rna-XM_026439692.1	7.025e-04
NC_037641.1	5268577	5268633	rna-NM_001134950.1	7.071e-04
NC_037647.1	6443128	6443508	rna-XM_006562810.3	7.118e-04
NC_037645.1	6460244	6460354	rna-XM_393044.7	7.170e-04
NC_037638.1	5116293	5116487	rna-NM_001145735.2	7.176e-04
NC_037652.1	2767285	2767329	rna-XM_026445678.1	7.188e-04
NC_037641.1	3342262	3342385	rna-XM_016911927.2	7.206e-04
NC_037638.1	26210107	26210257	rna-XM_006571698.3	7.208e-04
NC_037638.1	2489222	2489938	rna-XM_006559863.3	7.283e-04
NC_037640.1	9907117	9907446	rna-XM_026439393.1	7.328e-04
NC_037643.1	13369795	13369985	rna-XR_001703580.2	7.354e-04
NC_037647.1	9419370	9419505	rna-XM_624369.5	7.474e-04
NC_037640.1	1053893	1054083	rna-XM_016917406.2	7.478e-04
NC_037640.1	6124313	6124357	rna-XM_026439873.1	7.489e-04
NC_037643.1	6470600	6470703	rna-XM_026441135.1	7.543e-04
NC_037647.1	9419115	9419293	rna-XM_624369.5	7.548e-04
NC_037649.1	7777489	7777600	rna-XM_006565162.3	7.559e-04
NC_037653.1	2843675	2844007	rna-XM_016917040.2	7.566e-04
NC_037638.1	14141362	14141522	rna-XM_397073.7	7.567e-04
NC_037638.1	14279759	14279834	rna-XR_003306508.1	7.618e-04
NC_037647.1	7053311	7053535	rna-XM_624229.6	7.649e-04
NC_037652.1	3808991	3809255	rna-XM_016916654.2	7.652e-04
NC_037648.1	424749	424986	rna-XM_026443953.1	7.659e-04
NC_037638.1	12353476	12353592	rna-XM_016913015.2	7.700e-04
NC_037652.1	3677742	3678040	rna-XM_006560654.3	7.716e-04
NC_037653.1	1102300	1102353	rna-XM_006557704.3	7.731e-04
NC_037638.1	11587631	11587938	rna-XM_006569558.3	7.870e-04
NC_037644.1	9003683	9004455	rna-XM_026441833.1	7.914e-04
NC_037648.1	1191697	1191808	rna-XM_026443650.1	7.948e-04
NC_037647.1	4449707	4449875	rna-XM_026443499.1	7.984e-04
NC_037644.1	9036626	9039379	rna-XM_026441835.1	7.993e-04
NC_037640.1	39063	39230	rna-XM_026439550.1	8.139e-04
NC_037650.1	11160850	11161053	rna-XM_026444770.1	8.150e-04
NC_037641.1	3342271	3342385	rna-XM_016911929.2	8.206e-04
NC_037645.1	8394268	8394482	rna-XM_006564617.3	8.299e-04
NC_037650.1	658310	658496	rna-XM_026444614.1	8.392e-04
NC_037645.1	5894140	5894289	rna-XM_016913538.2	8.408e-04
NC_037638.1	15735335	15735789	rna-XM_624228.6	8.430e-04
NC_037639.1	13462131	13462482	rna-XM_006568982.3	8.552e-04
NC_037639.1	12746838	12746950	rna-XM_006569042.3	8.605e-04
NC_037646.1	11300288	11300482	rna-XM_026442979.1	8.639e-04
NC_037639.1	652071	652332	rna-XM_006558101.3	8.720e-04
NC_037651.1	10599092	10599482	rna-XM_006565624.3	8.750e-04
NC_037638.1	15733567	15734007	rna-XM_624228.6	8.868e-04
NC_037641.1	10033379	10033431	rna-XM_016911962.2	8.998e-04
NC_037643.1	13281747	13281845	rna-XM_016912806.2	9.084e-04
NC_037645.1	8395128	8395233	rna-XM_006564617.3	9.182e-04
NC_037641.1	10013085	10014197	rna-XM_026440447.1	9.230e-04
NC_037653.1	1095884	1096358	rna-XM_006557698.3	9.241e-04
NC_037642.1	5410379	5410679	rna-XM_026440769.1	9.297e-04
NC_037653.1	1096439	1097462	rna-XM_006557698.3	9.357e-04
NC_037638.1	15730656	15730806	rna-XM_006570830.3	9.453e-04
NC_037638.1	1039053	1039163	rna-XM_026446257.1	9.454e-04
NC_037645.1	6459671	6459786	rna-XM_393044.7	9.495e-04
NC_037638.1	14283030	14283343	rna-XM_026446108.1	9.537e-04
NC_037653.1	5035998	5036102	rna-XM_026445822.1	9.547e-04
NC_037642.1	6632863	6632997	rna-XM_016912175.2	9.633e-04
NC_037645.1	4535339	4535419	rna-XM_016913490.2	9.641e-04
NC_037647.1	7042673	7043080	rna-XR_001704432.2	9.646e-04
NC_037648.1	7057071	7057231	rna-XM_395186.7	9.657e-04
NC_037650.1	636104	636244	rna-XM_624295.6	9.732e-04
NC_037642.1	10816634	10816858	rna-XM_026441068.1	9.795e-04
NC_037651.1	1467486	1467523	rna-XM_006557566.3	9.840e-04
NC_037638.1	23227555	23227717	rna-XM_016914195.2	9.960e-04
NC_037645.1	8390417	8390824	rna-XM_006564617.3	9.970e-04
NC_037638.1	14283479	14283670	rna-XM_026446108.1	1.009e-03
NC_037638.1	15730163	15730278	rna-XM_006570830.3	1.012e-03
NC_037652.1	1875839	1875967	rna-XM_006558283.3	1.026e-03
NC_037639.1	4683873	4684304	rna-XM_006559088.3	1.044e-03
NC_037648.1	423946	424063	rna-XM_026443953.1	1.071e-03
NC_037648.1	6566881	6567132	rna-XR_003305697.1	1.072e-03
NC_037649.1	8260140	8260314	rna-XM_006565219.3	1.075e-03
NC_037642.1	13849573	13849693	rna-XM_026440654.1	1.081e-03
NC_037638.1	15735067	15735237	rna-XM_624228.6	1.090e-03
NC_037638.1	15730344	15730571	rna-XM_006570830.3	1.101e-03
NC_037642.1	5410758	5410901	rna-XM_026440769.1	1.106e-03
NC_037644.1	12370172	12370234	rna-XM_026441654.1	1.107e-03
NC_037647.1	4677250	4677460	rna-XM_026443350.1	1.114e-03
NC_037638.1	6918511	6918596	rna-XM_006564979.3	1.138e-03
NC_037639.1	10159644	10159751	rna-NM_001242983.1	1.139e-03
NC_037645.1	2213422	2213686	rna-XM_006559438.3	1.141e-03
NC_037650.1	5750603	5750710	rna-XM_016915770.2	1.144e-03
NC_037638.1	15723407	15724260	rna-XM_397116.7	1.148e-03
NC_037639.1	12622089	12622206	rna-XM_006569054.3	1.159e-03
NC_037648.1	12925295	12925545	rna-XM_016914725.2	1.161e-03
NC_037638.1	14279344	14279459	rna-XR_003306508.1	1.191e-03
NC_037638.1	14279540	14279671	rna-XR_003306508.1	1.206e-03
NC_037638.1	5442784	5442893	rna-XM_001119962.5	1.208e-03
NC_037649.1	8622296	8622386	rna-XM_026444239.1	1.215e-03
NC_037643.1	3835389	3835720	rna-XM_026441431.1	1.234e-03
NC_037641.1	12145910	12146062	rna-XM_625028.6	1.243e-03
NC_037639.1	653033	653343	rna-XM_006558101.3	1.250e-03
NC_037638.1	15734102	15734566	rna-XM_624228.6	1.250e-03
NC_037638.1	26204803	26204889	rna-XM_026446186.1	1.290e-03
NC_037640.1	39666	39781	rna-XM_026439550.1	1.294e-03
NC_037650.1	1134845	1135085	rna-XM_026444631.1	1.303e-03
NC_037641.1	5865274	5865347	rna-XM_026440442.1	1.327e-03
NC_037639.1	649734	649889	rna-XM_006558101.3	1.329e-03
NC_037651.1	4957831	4958232	rna-XR_001705618.2	1.352e-03
NC_037647.1	269078	269256	rna-XM_395122.5	1.357e-03
NC_037652.1	2756344	2756506	rna-XM_624409.6	1.376e-03
NC_037639.1	965465	965669	rna-XM_026439229.1	1.382e-03
NC_037638.1	15734651	15734965	rna-XM_624228.6	1.388e-03
NC_037639.1	12758791	12758890	rna-XM_006569042.3	1.391e-03
NC_037650.1	8733135	8733250	rna-XM_016915963.2	1.403e-03
NC_037651.1	2299121	2299537	rna-XM_026445038.1	1.418e-03
NC_037647.1	9419594	9419970	rna-XM_624369.5	1.425e-03
NC_037647.1	8092784	8093222	rna-XM_003250421.4	1.446e-03
NC_037643.1	2077168	2077246	rna-XM_006557486.3	1.450e-03
NC_037638.1	11831170	11831264	rna-XM_006570009.3	1.454e-03
NC_037647.1	6395408	6395548	rna-XM_006562827.3	1.466e-03
NC_037638.1	14283764	14283993	rna-XM_026446108.1	1.483e-03
NC_037638.1	11831199	11831324	rna-XR_003306541.1	1.490e-03
NC_037643.1	15399102	15399322	rna-XM_003251553.4	1.509e-03
NC_037640.1	6122046	6122330	rna-XM_026439874.1	1.548e-03
NC_037647.1	9941428	9941565	rna-XM_016914334.2	1.559e-03
NC_037653.1	1201444	1202204	rna-XM_026445861.1	1.575e-03
NC_037647.1	10022390	10022553	rna-XM_006566093.3	1.597e-03
NC_037642.1	5816068	5816204	rna-XM_026440961.1	1.602e-03
NC_037645.1	5893466	5893717	rna-XM_016913538.2	1.603e-03
NC_037645.1	8390908	8391119	rna-XM_006564617.3	1.612e-03
NC_037638.1	1039249	1039523	rna-XM_026446257.1	1.658e-03
NC_037638.1	15729857	15730083	rna-XM_006570830.3	1.679e-03
NC_037647.1	12103831	12103914	rna-XM_006569681.3	1.679e-03
NC_037653.1	5044799	5044834	rna-XM_026445822.1	1.696e-03
NC_037647.1	11962783	11962925	rna-XM_006569650.3	1.717e-03
NC_037639.1	12282715	12282897	rna-XM_006569097.3	1.721e-03
NC_037652.1	3678286	3678589	rna-XM_006560654.3	1.724e-03
NC_037647.1	9421245	9421503	rna-XM_623047.6	1.736e-03
NC_037653.1	2831735	2831972	rna-NM_001040233.1	1.743e-03
NC_037649.1	3344335	3344445	rna-XM_006572199.3	1.766e-03
NC_037640.1	12168282	12168517	rna-XM_026439865.1	1.767e-03
NC_037640.1	29098	29209	rna-XR_003304334.1	1.770e-03
NC_037647.1	9941907	9943535	rna-XM_016914334.2	1.784e-03
NC_037652.1	7874673	7875368	rna-XM_006563604.3	1.786e-03
NC_037648.1	15236196	15236353	rna-XM_006566729.3	1.802e-03
NC_037642.1	5816817	5816943	rna-XM_026440961.1	1.813e-03
NC_037649.1	8076750	8076869	rna-XM_006565205.3	1.819e-03
NC_037645.1	8799897	8799962	rna-XM_016913807.2	1.821e-03
NC_037643.1	14505681	14505931	rna-XM_624022.6	1.822e-03
NC_037638.1	6412834	6414258	rna-XM_026439522.1	1.829e-03
NC_037650.1	6010770	6011204	rna-XM_006560369.3	1.859e-03
NC_037638.1	11325513	11325851	rna-XR_001705682.2	1.872e-03
NC_037648.1	424441	424616	rna-XM_026443953.1	1.879e-03
NC_037651.1	5276188	5276217	rna-XM_026445126.1	1.886e-03
NC_037645.1	5893818	5894078	rna-XM_016913538.2	1.887e-03
NC_037648.1	6566881	6567129	rna-XR_003305698.1	1.898e-03
NC_037648.1	6401059	6401141	rna-XM_026443765.1	1.915e-03
NC_037638.1	26210080	26210257	rna-XM_003251734.4	1.921e-03
NC_037648.1	13445269	13445364	rna-XM_016914783.2	1.928e-03
NC_037639.1	4720539	4720639	rna-XR_001702111.2	1.950e-03
NC_037639.1	2529325	2529621	rna-XM_026439150.1	2.000e-03
NC_037645.1	311864	311917	rna-XM_395374.7	2.001e-03
NC_037638.1	23226577	23226934	rna-XM_016914195.2	2.018e-03
NC_037645.1	8392133	8392232	rna-XM_006564617.3	2.030e-03
NC_037638.1	15724336	15724543	rna-XM_397116.7	2.066e-03
NC_037651.1	7989064	7989260	rna-XR_003306093.1	2.069e-03
NC_037644.1	2959272	2959409	rna-XM_006560136.3	2.113e-03
NC_037638.1	12352165	12352519	rna-XM_016913015.2	2.158e-03
NC_037639.1	6351808	6352159	rna-XM_006561124.3	2.192e-03
NC_037652.1	3673090	3673755	rna-XM_016916581.2	2.212e-03
NC_037639.1	10159420	10159568	rna-NM_001242983.1	2.225e-03
NC_037646.1	1681105	1681207	rna-XM_026442947.1	2.231e-03
NC_037645.1	7824893	7825137	rna-XM_016913768.2	2.233e-03
NC_037641.1	2031269	2031405	rna-XM_026440387.1	2.242e-03
NC_037645.1	9965959	9966100	rna-XM_006568066.3	2.246e-03
NC_037642.1	5823763	5824827	rna-XM_026440961.1	2.251e-03
NC_037639.1	652655	652869	rna-XM_006558101.3	2.256e-03
NC_037651.1	9472322	9472489	rna-XM_016916259.2	2.271e-03
NC_037640.1	5370532	5371060	rna-XM_006560951.3	2.293e-03
NC_037651.1	10346043	10346339	rna-XM_026445057.1	2.309e-03
NC_037643.1	9020422	9020507	rna-XM_026441363.1	2.309e-03
NC_037646.1	11467798	11467953	rna-XM_006567391.3	2.316e-03
NC_037648.1	15899248	15899568	rna-XM_006570364.3	2.329e-03
NC_037648.1	7051030	7051158	rna-XM_392703.6	2.330e-03
NC_037638.1	15870876	15871166	rna-XM_026446212.1	2.343e-03
NC_037647.1	4449230	4449368	rna-XM_026443499.1	2.356e-03
NC_037638.1	26204614	26204736	rna-XM_026446186.1	2.358e-03
NC_037640.1	11646381	11646486	rna-XM_394400.6	2.376e-03
NC_037652.1	5935213	5935299	rna-XM_026445607.1	2.400e-03
NC_037647.1	4600717	4601032	rna-XM_001120852.5	2.411e-03
NC_037651.1	5206092	5206159	rna-XM_006560168.3	2.413e-03
NC_037651.1	10573834	10573948	rna-XM_001123018.5	2.417e-03
NC_037651.1	198603	198736	rna-XM_026444927.1	2.430e-03
NC_037648.1	14435391	14435878	rna-XM_016915173.2	2.436e-03
NC_037638.1	5441956	5442099	rna-XM_001119962.5	2.442e-03
NC_037641.1	10643361	10643436	rna-XM_026440224.1	2.484e-03
NC_037638.1	6062007	6062177	rna-XM_026446132.1	2.488e-03
